V(V),I(nA),ErroI(nA)
0,0.22,0.01
-0.200,0.120,0.005
-0.401,0.035,0.005
-0.600,-0.0100,0.0005
-0.801,-0.019,0.001
-1.000,-0.020,0.001
-1.200,-0.023,0.001
-1.400,-0.024,0.001
-1.600,-0.024,0.001
-1.803,-0.023,0.001
