V,A
0.080, 11.02e-12
0.182, 9.73e-12
0.269, 8.61e-12
0.482, 5.92e-12
0.599, 4.39e-12
0.751, 2.50e-12
0.862, 1.11e-12
0.929, 0.21e-12
1.020, 0.00e-12
1.151,-0.01e-12
1.351, 0.00e-12
1.551, 0.00e-12
1.870,-0.01e-12
2.018, 0.00e-12
