V,A
0.111, 11.21e-12
0.241, 10.23e-12
0.371, 9.26e-12
0.711, 6.70e-12
0.840, 5.74e-12
0.950, 4.89e-12
1.069, 3.99e-12
1.240, 2.75e-12
1.421, 1.39e-12
1.518, 0.64e-12
1.581, 0.17e-12
1.642,-0.01e-12
1.900, 0.00e-12
2.200, 0.01e-12
2.490, 0.01e-12
2.708, 0.01e-12
