V,A
0.110, 11.66e-12
0.499, 10.37e-12
0.881, 9.12e-12
1.260, 7.86e-12
1.652, 6.56e-12
1.910, 5.73e-12
2.189, 4.80e-12
2.528, 3.67e-12
2.740, 3.00e-12
2.962, 2.25e-12
3.212, 1.42e-12
3.360, 0.93e-12
3.472, 0.55e-12
3.561, 0.26e-12
3.691, 0.01e-12
3.891, 0.02e-12
4.021, 0.00e-12
4.132, 0.02e-12
4.278, 0.02e-12
4.532, 0.02e-12
4.651, 0.01e-12
4.850, 0.00e-12
4.998,-0.01e-12
