V(V),I(nA),ErroI(nA)
-1.060,0.039,0.001
-1.120,0.023,0.001
-1.181,0.0130,0.0005
-1.241,0.0032,0.0001
-1.300,-0.0045,0.0005
-1.400,-0.0135,0.0005
-1.500,-0.019,0.001
-1.600,-0.022,0.001
-1.700,-0.023,0.001
-1.800,-0.024,0.001
