V(V),I(nA),ErroI(nA)
-1.060,0.045,0.005
-1.120,0.030,0.005
-1.180,0.018,0.001
-1.240,0.0070,0.0005
-1.300,0.0050,0.0005
-1.400,-0.0080,0.0005
-1.500,-0.017,0.001
-1.600,-0.023,0.001
-1.700,-0.026,0.001
-1.798,-0.028,0.001
