V,A
-1.28985,-1.23E-12
-1.19364,-1.24E-12
-1.10121,-1.23E-12
-0.98802,-1.23E-12
-0.89559,-1.24E-12
-0.7975,-1.22E-12
-0.69374,-1.18E-12
-0.59188,-1.13E-12
-0.48247,-9.97E-13
-0.41267,-9.21E-13
-0.29383,-5.95E-13
-0.19574,8.11E-14
-0.09764,2.37E-12
0.0212,5.18E-12
